Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level
10.6,35.7,200.0,0,0
9.3,108.0,56.9,1,1
4.5,53.9,68.6,1,0
14.0,83.9,59.4,1,2
9.9,75.2,63.3,1,2
3.0,110.0,76.3,0,0
10.3,90.6,40.7,0,4
8.4,88.9,86.2,0,4
1.5,100.8,48.4,0,2
4.9,86.7,55.5,0,0
7.7,80.2,44.1,0,1
13.4,68.2,70.5,0,4
8.6,49.1,77.2,1,4
0.4,81.6,77.5,1,4
9.7,48.6,73.0,0,1
3.9,124.2,65.0,1,4
1.6,66.8,87.0,1,2
0.2,72.8,55.0,1,0
0.6,49.3,73.4,0,3
13.0,93.2,53.2,1,3
17.9,81.6,91.9,1,2
9.7,86.8,59.6,1,2
11.8,86.8,66.3,1,4
4.9,55.7,24.2,1,3
6.5,72.0,51.6,1,1
11.5,79.1,72.9,0,1
8.6,78.1,51.2,1,0
8.2,79.4,47.1,1,3
9.1,81.8,81.6,1,0
9.1,54.2,31.4,0,3
8.5,128.0,55.7,1,1
9.3,95.3,60.6,0,3
14.3,84.4,89.5,0,0
11.5,69.9,63.4,1,4
4.4,79.7,63.8,0,4
6.2,63.0,65.1,1,1
9.1,119.8,58.2,1,4
9.1,78.8,24.2,0,3
-2.0,93.0,65.9,1,3
7.7,81.6,52.6,0,2
15.2,35.7,72.8,0,0
13.6,65.5,56.9,1,2
4.6,80.1,50.3,0,1
15.2,82.0,63.4,1,3
12.3,84.9,68.1,1,1
20.2,102.5,92.1,1,0
7.6,49.5,58.9,0,3
2.8,57.1,67.8,0,3
10.0,74.5,79.0,1,3
11.9,61.5,50.2,1,0
10.6,77.2,80.8,1,3
1.8,106.1,58.0,1,4
8.3,48.5,63.4,1,4
12.8,44.0,80.8,0,4
13.3,57.2,80.3,1,1
-1.0,66.3,45.1,0,0
20.6,126.1,72.0,0,0
17.5,92.6,70.1,0,4
12.3,70.6,72.4,0,0
17.6,107.6,103.5,1,1
9.0,60.5,72.8,0,3
6.7,85.9,76.9,1,4
10.9,79.6,60.3,1,0
9.0,77.4,74.8,0,1
12.6,76.9,200.0,1,0
10.4,74.9,81.5,1,0
8.4,74.0,51.9,1,2
20.1,76.2,62.5,1,4
10.5,50.8,46.1,0,1
11.7,64.2,46.3,0,1
6.5,93.4,49.8,1,0
5.6,68.0,77.7,0,0
10.4,86.8,30.1,1,3
4.8,78.3,94.5,1,1
18.9,102.2,48.7,1,2
1.4,90.9,59.4,1,0
12.8,53.2,50.1,1,3
7.9,62.7,72.1,0,3
18.1,91.5,43.8,0,4
10.7,80.6,55.3,0,3
12.5,91.5,88.4,0,0
13.3,73.8,65.2,0,1
10.0,66.7,83.1,0,4
10.6,43.6,29.9,1,4
8.9,86.2,33.7,1,2
12.0,90.8,59.3,0,1
8.7,59.8,68.4,1,4
5.2,44.8,41.0,0,4
14.9,111.5,115.6,1,3
17.8,90.9,63.1,1,2
18.9,92.9,73.9,1,4
18.8,58.6,57.7,1,2
5.0,89.2,56.1,1,2
2.9,117.1,66.8,1,2
3.5,79.5,34.6,1,0
21.6,77.6,46.2,0,0
9.9,63.0,47.8,0,4
17.0,92.8,68.2,0,4
13.6,81.6,52.3,0,0
11.2,87.1,44.8,1,4
5.5,66.4,48.2,1,0
9.7,70.0,69.4,0,3
5.2,75.1,80.5,1,1
18.3,76.8,46.8,0,4
13.1,84.9,57.5,0,4
5.8,86.4,67.6,1,3
7.4,72.1,54.8,1,2
9.9,67.6,47.8,1,2
18.6,31.4,61.8,0,3
0.5,62.1,58.4,1,2
8.9,139.5,79.6,0,2
8.0,58.9,48.7,1,4
19.1,63.7,56.3,0,0
7.1,62.4,83.8,1,4
12.3,78.6,79.1,1,0
-1.0,117.3,61.1,0,2
9.6,104.5,62.4,0,2
14.2,62.9,23.9,1,3
6.2,40.5,80.1,1,3
12.5,57.1,47.4,0,4
6.1,78.2,41.9,1,3
14.1,79.4,69.0,1,0
9.0,106.2,71.8,0,1
-2.9,78.4,52.0,0,4
12.7,94.0,57.4,1,4
10.4,74.6,68.5,0,4
8.4,93.6,70.6,1,3
7.5,31.8,105.9,1,0
5.3,69.2,32.6,0,0
6.3,77.7,49.0,1,0
11.9,61.8,46.7,0,1
2.0,73.3,75.1,0,4
11.9,82.3,75.5,1,0
22.6,63.6,55.2,0,2
11.9,93.5,41.6,1,0
11.4,61.0,56.4,1,0
15.2,71.4,60.9,1,2
8.9,76.5,83.6,0,0
18.3,76.5,80.2,1,1
7.6,65.2,87.7,0,4
13.5,53.5,84.3,1,0
5.8,63.9,69.5,1,0
16.4,86.0,74.9,1,3
2.9,107.3,61.5,0,0
13.7,67.7,84.9,1,4
11.1,81.8,47.7,0,0
10.3,59.3,72.5,0,2
16.2,100.9,65.1,1,2
15.2,22.3,76.1,0,4
16.1,72.3,49.3,0,1
9.7,86.7,74.2,1,2
18.2,47.4,79.5,1,0
9.2,96.5,76.1,0,1
14.1,92.2,67.4,1,4
6.9,135.0,77.9,1,2
13.4,62.7,42.5,1,3
1.0,62.9,86.1,0,3
18.7,76.4,67.7,1,0
11.8,14.2,72.2,0,3
9.2,93.4,59.2,1,2
17.2,101.6,80.4,1,1
4.8,79.4,62.0,0,0
11.0,48.6,81.8,1,1
12.0,71.6,75.0,1,2
17.9,65.9,70.1,0,0
7.4,76.4,62.9,0,4
10.0,62.8,49.4,1,3
12.7,82.7,47.8,0,4
19.5,82.8,55.0,1,0
18.0,64.1,43.1,0,2
15.0,65.3,94.4,1,3
11.1,63.7,68.5,1,3
-0.3,89.5,61.3,0,2
4.0,108.2,53.1,1,3
13.1,32.6,52.4,1,0
9.1,85.7,50.2,0,1
5.1,109.8,57.0,1,2
10.2,61.5,85.0,1,1
6.7,64.6,43.5,0,0
7.2,100.6,65.8,1,1
9.4,66.6,36.4,0,0
5.7,43.2,86.7,1,1
12.2,59.2,46.8,0,2
14.4,47.8,91.2,0,2
8.5,90.6,67.9,0,0
4.2,93.0,83.0,0,2
12.0,72.6,100.5,1,0
9.6,25.3,55.4,1,1
10.9,24.9,60.0,0,0
5.4,94.0,67.3,1,0
6.4,85.2,66.9,0,0
7.9,69.1,67.9,0,1
3.0,57.0,61.6,0,3
10.1,93.7,68.1,0,2
0.1,81.4,77.0,1,4
11.2,67.8,67.8,1,0
6.0,66.1,43.3,1,1
6.6,78.3,63.6,0,3
22.2,60.1,90.3,1,2
17.7,66.2,55.7,0,2
12.2,67.2,71.0,0,2
7.0,57.7,44.3,0,1
9.1,90.2,93.0,1,1
5.8,39.4,73.0,0,1
12.1,43.6,47.0,1,0
10.3,73.3,72.4,0,4
2.6,101.6,90.4,0,1
11.3,89.0,79.3,0,3
18.0,59.0,55.6,1,1
15.6,37.6,37.2,1,2
16.1,29.5,50.9,0,2
18.7,78.5,44.9,1,1
12.2,77.2,48.3,1,4
4.9,79.7,94.5,0,0
9.1,58.6,66.6,1,4
7.0,84.1,61.1,1,1
22.0,90.7,47.5,1,0
16.8,98.1,67.3,1,0
1.9,101.1,46.6,1,3
12.6,64.6,80.8,0,3
21.8,59.7,51.5,1,1
4.5,106.3,68.9,1,4
7.9,53.2,42.8,1,0
13.6,89.3,59.7,0,0
14.2,83.3,44.9,0,3
12.0,96.4,86.9,0,0
8.3,50.8,80.7,1,4
12.0,48.1,48.9,0,4
-4.5,77.5,43.9,0,4
8.9,55.9,79.8,1,1
3.4,83.6,68.4,0,3
4.3,103.1,79.4,1,0
16.8,47.1,48.0,0,1
5.4,103.4,64.4,1,3
15.7,68.6,75.0,1,1
11.1,72.6,99.0,1,1
15.2,79.3,60.2,0,2
4.2,82.3,62.2,1,2
5.2,41.5,65.0,0,1
6.5,65.2,70.7,0,4
17.4,81.3,82.4,1,2
11.4,63.5,59.2,0,1
8.6,66.4,71.9,0,2
15.2,55.9,72.9,1,3
12.2,100.8,54.9,0,4
10.1,60.8,63.9,1,3
5.8,88.8,79.9,1,4
2.6,70.7,71.5,0,4
2.2,101.0,78.5,1,0
10.6,62.6,70.2,0,2
9.4,45.7,63.9,1,3
6.1,110.6,64.8,1,4
9.8,81.3,70.6,0,3
7.4,83.4,42.2,0,1
9.4,48.5,61.3,1,1
14.5,77.2,74.6,0,0
8.0,69.2,67.4,0,2
11.0,121.6,90.4,0,4
20.2,71.4,42.2,0,1
11.4,67.0,70.1,0,3
12.1,58.3,71.5,0,1
1.8,67.7,73.0,1,3
13.9,88.9,62.6,0,2
11.0,82.1,73.9,0,3
15.9,79.4,41.9,0,1
7.5,77.2,80.1,1,2
10.8,53.9,74.6,0,0
20.7,92.3,67.5,0,2
-4.5,66.9,73.7,0,3
-1.8,83.2,58.3,1,2
12.4,53.1,59.1,1,2
16.7,85.4,68.9,0,4
15.6,89.4,39.2,0,0
7.1,89.4,48.9,0,0
19.9,74.4,74.7,0,2
13.4,52.1,90.7,1,3
-0.8,63.5,71.4,0,0
9.1,70.3,97.4,1,3
4.8,101.2,52.3,0,3
7.3,51.4,67.7,0,3
12.4,81.2,67.4,1,3
1.6,47.9,83.6,0,1
14.8,46.9,79.8,0,4
3.6,93.5,51.6,0,3
6.2,53.3,63.6,0,1
12.9,62.5,53.9,0,2
14.8,66.9,80.4,0,1
17.3,94.4,74.2,1,4
9.9,104.5,69.6,1,4
17.3,54.1,72.9,1,2
14.1,48.0,73.6,1,0
8.7,71.0,80.9,1,0
14.5,84.6,110.2,1,3
18.9,65.8,75.3,1,3
0.3,66.7,56.2,0,0
5.1,81.0,72.7,1,0
16.9,56.7,61.3,1,4
16.0,34.2,58.4,1,2
11.3,68.9,86.8,1,3
9.9,50.3,76.8,1,2
14.0,89.1,61.0,1,3
15.8,46.1,80.1,1,0
15.3,61.6,69.7,0,1
5.7,57.3,72.2,0,2
4.1,85.2,65.5,0,0
10.3,90.2,93.8,1,4
0.1,74.7,27.9,0,2
4.1,59.5,51.4,1,4
3.4,55.4,74.1,1,2
16.3,98.2,95.8,1,4
17.0,50.3,74.2,0,1
0.2,80.9,46.4,1,0
16.4,96.7,36.4,0,0
11.1,46.6,69.6,1,3
17.4,98.9,69.1,0,0
9.3,42.7,54.3,0,4
11.1,77.3,44.8,0,3
8.5,91.8,57.7,1,3
13.4,103.4,67.0,1,3
15.2,32.9,72.3,0,4
12.2,91.4,86.7,1,3
11.0,110.3,53.1,0,4
17.6,58.9,70.9,1,1
1.5,45.9,58.0,1,2
16.3,85.1,56.7,0,1
10.1,46.4,64.7,0,2
6.9,82.5,40.5,0,3
8.1,68.1,60.8,0,4
8.4,76.1,46.3,0,3
11.0,105.7,48.8,1,0
18.5,82.0,87.6,0,0
16.4,85.4,64.8,1,1
4.8,46.7,57.2,0,0
9.7,108.2,51.4,0,2
-1.0,77.9,66.1,1,0
14.0,85.4,90.9,0,0
14.5,93.9,67.4,1,2
7.6,89.4,63.0,1,1
9.6,44.3,62.8,0,2
13.5,105.9,95.7,1,1
13.2,84.7,63.0,0,0
11.4,109.5,67.7,0,3
0.1,134.7,101.0,0,4
-0.1,30.8,44.2,0,1
7.5,108.4,47.8,0,1
0.4,81.3,62.5,0,0
11.6,56.6,48.2,1,4
2.6,32.5,83.4,0,1
11.7,103.4,48.7,1,3
11.1,95.8,79.0,0,1
8.6,68.9,84.1,1,3
7.2,75.2,87.2,1,0
8.0,94.1,61.7,1,2
10.0,85.2,47.7,0,4
6.7,60.8,66.2,0,2
4.9,46.8,38.6,1,0
22.5,64.8,46.9,1,3
6.5,120.4,60.4,0,4
5.2,103.8,74.8,1,0
6.1,76.3,65.8,1,3
12.9,91.7,69.6,1,0
15.0,74.8,45.7,0,2
1.2,61.3,70.5,1,2
11.9,77.8,71.1,0,0
8.6,63.5,45.0,1,2
3.7,94.3,79.4,0,0
16.9,78.9,73.4,0,4
16.2,80.2,57.3,1,2
9.7,68.4,81.6,1,2
8.6,81.5,55.4,1,2
7.7,42.2,73.9,1,1
1.0,83.6,60.6,1,0
12.2,77.6,53.3,1,1
10.9,74.9,80.1,1,1
1.1,42.0,65.8,1,1
0.2,96.1,52.7,1,0
13.2,55.6,53.5,0,1
10.6,45.5,49.8,1,3
9.5,81.3,57.8,1,0
14.6,89.0,63.3,1,4
22.9,69.6,75.7,1,0
8.1,20.8,50.2,0,3
18.0,74.9,95.1,0,1
2.3,75.4,56.1,0,3
8.0,58.1,31.6,1,1
7.2,90.5,57.8,1,3
6.3,74.2,57.8,1,2
13.8,74.3,55.8,0,4
11.8,41.9,55.7,1,3
4.9,52.1,64.1,1,2
9.8,54.1,84.1,1,0
7.5,86.2,47.4,0,1
6.6,81.5,95.2,1,1
7.6,62.4,49.2,0,0
4.1,83.0,54.9,0,3
4.7,35.4,67.3,1,0
3.0,94.4,56.9,1,1
7.0,98.5,77.6,0,2
6.8,94.6,88.6,1,4
9.3,97.3,56.9,0,0
10.9,89.6,65.2,1,4
8.4,83.3,70.9,0,4
12.2,56.4,61.0,1,3
16.4,81.0,38.6,1,2
14.9,70.1,110.8,0,1
7.8,96.6,53.3,0,3
11.8,105.1,82.7,0,0
9.3,68.4,60.6,0,4
9.4,44.8,26.0,1,0
9.3,88.2,71.6,0,1
9.9,71.0,77.6,1,4
2.6,50.4,67.7,0,3
0.9,49.9,80.3,0,0
7.4,95.4,66.2,1,3
14.0,98.5,72.9,0,4
10.2,51.5,66.9,0,1
16.5,53.6,50.5,0,1
11.2,106.2,70.6,1,0
11.5,61.6,70.8,0,4
6.1,70.1,59.3,0,1
7.9,58.1,70.7,1,4
10.1,102.1,65.6,0,3
15.2,77.7,44.9,0,2
3.4,99.2,66.1,1,1
12.0,52.6,30.4,0,1
3.1,77.0,75.2,0,3
13.0,64.1,77.6,1,0
13.4,75.1,86.8,0,0
13.8,63.6,73.3,1,1
12.7,85.8,57.9,1,1
15.7,62.8,69.0,1,3
7.1,83.0,47.4,1,0
13.6,80.9,51.5,0,3
13.0,82.6,65.0,1,1
10.6,100.1,38.0,1,1
6.1,94.7,43.2,1,0
11.6,77.0,54.1,1,4
3.4,89.2,81.7,0,4
15.5,74.3,43.2,1,1
8.2,63.8,76.3,1,3
10.7,94.7,71.0,1,4
8.2,90.6,51.0,1,4
16.0,102.8,62.0,0,3
12.8,67.4,71.9,0,1
11.8,50.3,40.0,1,4
9.1,92.7,77.7,0,0
7.2,68.8,54.3,1,3
8.4,85.0,62.2,0,3
8.5,75.2,79.3,1,0
15.8,85.6,72.8,0,4
12.3,118.0,59.5,0,4
9.9,58.5,46.7,1,2
22.2,66.0,49.4,0,0
11.3,99.8,34.1,0,4
6.3,50.2,47.8,0,3
0.3,150.0,58.0,0,0
6.4,57.1,56.0,0,2
-1.7,83.7,47.9,1,1
20.6,60.7,70.5,1,2
10.0,50.0,72.7,1,1
18.8,43.6,48.1,0,2
19.4,54.8,47.7,1,4
0.2,96.3,79.6,1,4
2.5,95.6,82.2,1,2
17.1,68.7,85.4,1,3
14.4,73.7,65.0,1,2
5.2,88.8,89.6,1,4
16.1,72.3,70.6,1,4
5.3,79.6,75.3,0,2
15.7,87.8,78.3,1,3
14.8,79.6,53.8,1,3
8.0,95.9,62.6,0,4
5.9,78.2,55.4,1,3
9.6,100.4,76.9,0,1
6.0,58.8,71.5,1,1
9.6,89.5,79.7,0,1
6.2,81.8,47.2,1,2
3.9,77.0,73.2,1,3
0.7,60.2,42.3,0,4
17.8,68.9,52.1,0,4
11.8,38.3,65.3,0,3
4.4,76.2,73.1,0,3
10.8,106.8,45.9,0,3
3.4,54.7,55.8,0,0
10.3,84.5,89.9,0,3
14.1,105.5,67.1,1,1
4.4,57.4,56.9,1,0
13.3,94.7,57.2,0,1
4.8,59.4,53.8,0,2
12.5,69.0,65.4,0,2
11.5,82.9,69.3,1,3
11.2,87.8,35.8,0,0
8.3,49.8,75.4,1,0
9.6,78.8,50.6,0,0
10.3,59.5,94.6,1,4
6.3,71.2,87.1,1,0
9.3,72.1,85.4,0,1
7.8,101.9,41.7,0,4
3.5,95.1,64.2,0,3
13.9,75.6,38.5,1,3
5.4,145.7,57.2,1,3
7.7,54.8,70.7,1,3
7.2,62.9,81.3,1,3
15.5,74.9,96.1,0,1
11.5,55.7,78.8,0,3
11.1,83.1,56.6,1,0
4.4,42.1,55.1,0,4
4.3,78.3,65.7,0,2
11.4,60.8,64.7,1,2
11.4,77.3,73.0,0,4
12.6,49.8,55.6,1,1
-1.3,84.8,58.3,0,1
13.2,87.1,52.3,0,4
10.6,81.3,51.7,0,2
6.4,92.0,84.3,1,2
4.6,126.6,27.6,0,2
14.8,91.6,68.1,0,1
11.0,105.6,81.2,1,4
10.5,64.0,55.7,0,2
8.7,73.1,86.6,1,3
6.7,43.0,71.7,0,1
10.7,86.6,74.5,1,2
12.2,120.2,40.8,1,4
10.6,92.9,76.9,1,1
10.5,60.4,67.7,0,2
11.9,81.2,61.1,1,2
8.3,91.4,86.7,0,0
21.4,31.8,45.5,0,2
13.5,70.4,74.1,1,4
8.6,88.2,62.0,1,1
11.1,96.9,50.9,0,1
8.7,25.2,40.0,0,1
1.9,87.4,67.3,0,1
7.4,75.3,81.4,0,3
4.8,29.7,86.4,0,1
13.1,84.1,69.5,0,1
14.3,69.7,70.5,1,3
7.8,70.4,66.0,1,0
3.5,83.5,66.8,0,0
11.9,84.4,43.1,1,0
-4.5,53.3,87.5,0,2
2.6,55.2,64.9,1,0
18.8,71.3,61.5,1,2
6.2,74.8,68.1,0,3
12.3,104.2,75.1,0,3
7.3,63.3,63.8,1,3
2.6,51.5,76.1,1,3
14.6,43.0,71.7,0,3
5.8,31.1,63.7,1,0
16.0,57.4,48.6,0,4
10.8,119.7,78.5,1,4
5.3,117.4,53.6,0,4
14.3,90.8,63.7,1,0
13.1,76.3,94.3,0,2
5.3,77.9,61.1,1,3
17.5,75.4,65.6,1,0
19.8,45.6,95.7,1,1
14.5,53.3,74.4,0,1
4.0,33.3,87.8,0,1
11.9,74.9,65.6,1,0
11.5,68.0,34.8,0,4
9.9,81.7,76.5,0,1
15.1,77.4,67.5,0,3
6.0,83.3,68.3,0,2
10.9,73.0,69.0,0,1
18.8,112.3,55.5,1,1
8.8,93.1,55.7,0,2
11.1,114.3,42.9,1,3
3.2,83.0,68.1,1,2
20.1,70.8,55.4,1,1
11.6,75.5,39.3,0,2
22.1,66.1,69.3,0,4
12.4,57.3,72.4,0,3
11.4,71.9,67.0,0,0
12.9,60.1,72.6,1,1
18.2,92.9,53.6,0,4
7.3,82.6,64.1,1,0
15.1,91.1,82.2,1,4
3.9,55.6,72.7,1,3
9.0,88.1,73.6,0,3
12.3,48.2,65.4,1,0
8.6,53.0,74.0,1,4
3.3,94.1,80.9,1,0
9.4,51.4,52.7,1,4
10.8,66.3,56.5,1,3
3.0,83.8,79.5,1,2
11.7,56.0,73.7,1,3
8.4,50.2,71.7,0,2
18.1,133.7,57.0,1,2
7.1,71.4,62.8,0,1
5.2,73.1,49.2,1,0
7.3,90.0,47.6,0,3
5.0,74.4,79.6,0,0
14.2,79.3,90.1,0,0
5.9,78.7,60.8,1,4
5.1,93.6,38.1,0,1
6.6,53.5,81.8,1,1
18.1,82.3,61.7,1,2
14.6,72.0,92.7,0,1
13.3,108.8,58.8,0,4
5.8,66.3,65.4,1,0
9.2,56.4,39.4,1,4
17.9,75.5,68.8,1,0
11.4,96.9,71.5,0,4
5.0,68.2,33.7,0,0
5.2,67.8,60.6,1,1
7.8,112.0,49.7,0,2
14.0,114.4,51.5,0,0
4.7,58.7,87.0,1,3
8.6,115.1,69.1,1,2
8.2,84.3,56.2,1,1
18.5,69.3,39.9,0,4
2.0,77.2,76.2,1,3
13.0,74.2,82.9,0,3
12.6,64.4,64.7,1,3
9.6,68.1,68.6,0,4
13.0,65.4,73.6,0,2
11.8,108.8,23.6,1,4
15.4,115.8,54.6,1,3
10.3,81.2,78.1,0,2
11.7,69.8,47.0,0,2
7.9,98.9,66.1,1,3
9.0,67.0,66.1,0,2
-2.6,64.7,50.2,0,1
1.2,94.8,82.1,1,4
8.9,60.5,49.0,0,4
3.6,85.2,53.5,0,0
13.4,81.5,55.5,0,2
10.4,87.3,43.6,1,4
18.0,70.4,65.2,0,1
10.9,91.8,52.8,1,4
8.0,97.3,48.8,1,2
9.0,74.0,66.6,0,1
3.7,54.1,40.9,0,1
9.6,91.3,55.6,1,2
4.6,53.3,91.7,0,0
5.0,71.7,53.0,0,4
11.2,75.2,72.9,0,2
9.6,71.8,54.8,1,2
12.5,107.8,65.7,0,2
17.6,58.5,85.6,1,2
14.6,93.2,74.7,1,3
9.8,50.8,40.9,0,4
8.2,143.1,74.5,1,0
8.0,73.3,59.5,0,1
18.3,49.3,64.3,0,2
20.4,37.9,81.1,0,0
4.5,74.2,56.0,1,2
4.8,71.5,59.4,1,2
6.4,62.5,71.9,0,1
14.0,59.1,75.0,1,4
15.2,88.0,55.4,1,0
9.4,74.2,80.6,1,3
9.9,100.4,61.1,0,1
5.0,70.2,59.8,1,0
11.3,47.4,44.7,1,1
1.2,63.0,73.7,0,4
15.3,96.6,80.1,0,4
13.2,71.9,95.7,1,0
9.2,32.6,72.4,0,2
5.7,55.7,48.4,1,1
11.6,65.9,73.8,1,2
11.7,68.3,86.2,0,2
8.8,83.3,85.7,1,1
2.5,57.5,71.3,0,0
12.2,67.7,69.0,0,1
9.4,84.9,68.3,1,0
5.5,66.5,51.4,0,3
10.2,94.6,74.9,0,4
6.4,85.7,69.9,1,3
9.5,71.8,83.4,1,4
4.4,127.2,50.5,1,4
10.6,71.8,73.4,0,1
8.9,99.3,47.6,0,4
8.1,111.6,74.3,0,1
-4.1,75.3,87.3,1,2
9.1,82.3,69.7,1,3
5.2,64.6,63.3,0,0
-0.1,68.9,52.7,1,3
12.5,76.8,34.0,1,4
5.9,50.9,46.6,1,0
5.9,55.5,49.9,0,1
7.8,87.6,76.8,0,4
8.8,96.1,91.9,0,1
13.8,74.5,91.0,0,3
-2.4,66.6,69.7,0,4
15.4,90.7,71.9,1,4
11.5,80.2,25.7,0,2
5.6,76.2,71.1,1,1
-1.0,65.7,43.2,1,2
9.6,69.7,42.2,0,0
8.1,114.0,47.5,0,4
15.5,99.9,56.4,0,4
6.8,90.7,62.0,1,0
6.6,40.2,61.3,1,3
18.2,54.9,42.5,1,0
15.4,83.1,56.9,0,0
10.3,88.5,47.9,0,0
4.6,50.7,64.1,0,1
12.6,77.5,61.7,0,0
6.0,54.6,50.3,1,0
5.8,64.5,88.3,1,2
8.8,73.0,71.9,1,2
17.3,54.7,60.3,0,4
7.8,81.4,93.5,0,0
15.2,82.2,47.3,1,2
13.9,90.3,52.0,1,3
12.1,74.5,66.0,1,4
15.7,87.6,41.6,1,2
8.5,87.6,81.4,0,0
17.1,80.7,71.1,0,3
6.9,74.8,57.0,1,4
6.7,75.6,76.4,0,0
14.4,88.9,54.3,1,0
9.5,85.2,84.1,1,4
12.7,105.0,80.0,1,3
9.8,34.5,84.0,0,0
16.0,97.4,61.9,1,0
-0.4,123.9,69.1,1,4
14.1,90.9,63.5,0,0
16.1,67.1,48.0,0,3
3.3,55.5,99.9,1,0
2.1,48.4,80.9,0,0
8.4,31.2,68.9,0,0
5.8,72.0,59.0,0,0
8.6,62.9,56.9,0,4
16.9,73.2,61.5,1,2
13.6,103.3,50.2,1,2
4.4,40.7,66.2,0,0
10.4,99.8,57.6,0,3
4.7,72.6,26.6,1,3
14.4,85.1,32.4,1,0
8.8,18.1,62.5,1,1
11.1,65.3,76.0,1,4
10.2,58.7,73.4,0,3
6.1,100.9,53.4,0,2
6.6,101.4,71.1,0,0
16.3,40.4,68.9,1,4
-1.3,85.2,84.2,0,3
6.1,48.1,64.0,0,1
0.0,64.8,41.1,1,1
12.8,82.0,57.8,0,0
11.6,76.2,65.0,1,4
9.6,77.4,60.3,0,3
9.0,53.8,50.4,1,2
7.0,71.5,59.0,1,2
4.2,101.7,67.3,0,2
15.0,70.3,52.0,0,2
6.3,98.5,67.7,1,4
8.8,79.4,58.8,1,4
17.4,76.0,69.7,0,2
11.8,101.0,64.3,1,3
12.6,119.8,63.6,0,1
14.5,48.2,34.5,1,3
8.8,73.1,56.7,1,1
5.7,81.4,77.1,0,3
10.8,127.0,53.4,0,0
16.2,77.1,34.9,0,0
13.6,89.8,41.3,1,1
18.4,50.7,43.5,1,3
14.0,116.3,74.7,0,2
22.9,61.2,81.3,0,2
15.7,77.4,48.0,1,4
13.4,127.7,63.7,1,2
10.3,95.2,49.7,1,1
9.1,80.3,70.2,1,2
17.3,34.2,93.3,0,1
6.0,52.8,65.4,1,3
9.7,76.6,51.1,0,4
8.0,81.5,58.9,1,4
2.9,59.5,64.9,0,4
16.1,85.9,82.4,1,1
0.3,51.4,75.3,1,3
1.1,90.0,47.3,1,2
8.9,50.6,70.5,1,1
16.1,92.6,69.2,1,1
-6.7,58.6,64.0,1,0
13.1,78.1,64.8,0,3
12.4,55.4,57.7,0,4
16.9,110.0,51.3,1,3
2.3,105.5,62.6,0,3
12.6,52.6,99.1,0,2
8.7,74.4,58.8,1,4
5.8,86.4,82.4,0,1
13.7,67.3,59.3,0,2
10.6,80.9,75.2,0,4
15.9,74.8,54.9,0,3
6.6,120.6,85.0,1,2
14.3,105.5,88.1,1,2
13.3,75.9,60.4,0,3
17.6,81.2,59.6,1,3
11.4,72.6,60.5,1,2
14.3,60.6,39.4,1,3
7.9,99.8,56.7,0,4
12.8,62.7,73.4,1,3
9.1,89.5,50.0,1,3
8.1,49.3,113.9,1,0
5.3,75.6,55.6,0,4
8.0,59.5,63.0,1,1
6.0,62.9,41.8,0,3
6.3,22.6,66.7,0,2
14.4,51.0,65.2,1,2
6.6,97.3,73.3,1,0
4.3,85.0,62.6,0,2
6.6,65.9,65.1,0,3
14.1,91.8,56.9,1,1
13.1,68.6,78.1,0,2
7.5,82.6,73.6,0,1
14.1,96.8,60.3,1,2
7.5,62.6,63.7,0,1
6.9,86.9,52.1,0,0
6.6,101.4,54.5,0,0
3.7,79.4,75.8,1,3
14.5,67.6,75.7,1,3
22.1,94.0,47.5,0,4
3.7,79.7,53.9,1,4
4.9,66.4,52.6,1,1
5.5,64.6,56.1,0,3
5.9,116.5,60.2,0,1
14.5,59.3,78.3,0,4
9.3,84.2,76.6,0,3
17.0,61.2,77.6,1,3
10.4,131.3,37.4,0,4
11.0,69.3,51.1,0,4
6.9,24.1,74.7,0,2
13.5,93.4,50.3,0,1
16.2,89.0,65.4,0,3
7.7,58.3,53.8,0,0
5.5,98.1,66.9,0,1
12.8,79.0,55.7,0,1
16.1,96.4,82.0,1,2
9.2,68.5,61.1,0,1
17.8,54.4,55.9,0,0
10.1,49.2,83.4,1,1
12.5,99.5,81.0,0,4
12.4,85.8,64.3,0,4
12.7,71.3,77.5,1,1
5.4,42.2,73.1,0,2
10.2,67.2,45.8,1,2
1.7,87.2,57.6,0,4
9.8,70.0,66.5,0,2
8.2,75.3,80.7,1,3
8.3,96.8,59.0,0,4
6.7,108.7,65.3,0,3
3.9,23.7,74.9,0,1
9.3,69.8,83.0,0,1
19.3,105.6,62.7,1,3
14.6,84.1,78.7,1,4
14.8,55.8,63.3,1,2
8.7,70.6,52.6,0,0
11.7,66.7,60.8,1,1
10.1,72.0,38.7,0,1
6.7,64.8,70.9,0,0
10.1,72.7,73.9,1,4
5.5,87.2,48.7,0,1
10.1,55.7,91.0,0,3
7.5,53.1,47.0,1,3
-5.5,69.9,87.8,1,1
4.1,63.7,50.0,0,2
14.7,101.8,41.9,0,2
5.4,43.4,69.1,1,0
11.0,62.1,85.6,0,2
2.1,80.0,52.5,0,0
16.0,57.1,72.1,1,3
14.4,92.1,75.2,1,3
13.2,52.2,73.0,1,4
1.9,81.1,58.2,0,2
16.0,77.4,37.3,0,0
11.3,76.0,31.3,0,1
9.9,84.7,68.6,1,4
